,year_id,state,population,gsp_$_million,energy_consumption_pj
0,0,VIC,5371934,364430,1428.4
1,0,NSW,7408540,523607,1593.5
2,0,QLD,4328771,286209,1345.7
3,0,WA,2240250,216002,917.4
4,0,SA,1608902,98259,357.2
5,0,TAS,504353,27684,113.8
6,0,NT,226027,20356,95.0
7,1,VIC,5461101,367948,1433.5
8,1,NSW,7506058,532452,1645.3
9,1,QLD,4404744,292181,1294.4
10,1,WA,2290845,228873,905.9
11,1,SA,1627322,100302,343.7
12,1,TAS,508847,27905,113.7
13,1,NT,229778,20250,94.2
14,2,VIC,5537817,378616,1455.7
15,2,NSW,7586514,543726,1668.0
16,2,QLD,4476778,294831,1249.6
17,2,WA,2353409,239627,980.4
18,2,SA,1639614,102564,342.8
19,2,TAS,511483,28590,113.8
20,2,NT,231292,20852,99.8
21,3,VIC,5651091,387684,1464.4
22,3,NSW,7680783,557491,1621.3
23,3,QLD,4568687,312040,1314.8
24,3,WA,2425507,259517,982.2
25,3,SA,1656725,103611,307.7
26,3,TAS,511724,29156,107.0
27,3,NT,235915,21698,98.2
28,4,VIC,5772669,391361,1429.3
29,4,NSW,7787289,570117,1568.4
30,4,QLD,4652824,320969,1334.8
31,4,WA,2486944,275222,1019.5
32,4,SA,1671488,104385,356.3
33,4,TAS,512231,28999,112.3
34,4,NT,241722,23197,100.2
35,5,VIC,5894917,399281,1397.7
36,5,NSW,7897152,582250,1526.5
37,5,QLD,4719653,328237,1338.9
38,5,WA,2517608,291130,1066.6
39,5,SA,1686945,104530,337.1
40,5,TAS,513621,29368,108.0
41,5,NT,242894,23490,99.1
42,6,VIC,6022322,410426,1394.4
43,6,NSW,8011981,598195,1478.8
44,6,QLD,4777692,330946,1436.1
45,6,WA,2540672,297620,1045.4
46,6,SA,1700668,105656,356.9
47,6,TAS,515117,29710,104.9
48,6,NT,244692,23796,84.0
49,7,VIC,6173172,424414,1416.9
50,7,NSW,8135962,620416,1524.3
51,7,QLD,4845152,338839,1464.6
52,7,WA,2555978,300590,1123.9
53,7,SA,1712843,106275,316.4
54,7,TAS,517514,30276,107.1
55,7,NT,245678,24286,83.9
56,8,VIC,6299798,440670,1388.1
57,8,NSW,8267695,637023,1533.0
58,8,QLD,4928374,347445,1531.9
59,8,WA,2587577,297375,1177.0
60,8,SA,1729608,108185,287.4
61,8,TAS,528324,30594,107.5
62,8,NT,248161,24653,83.3
63,9,VIC,6418168,455568,1314.1
64,9,NSW,8375720,652122,1564.7
65,9,QLD,5010502,360646,1547.8
66,9,WA,2621052,304445,1209.9
67,9,SA,1748010,110504,334.6
68,9,TAS,540112,31557,110.5
69,9,NT,248363,25125,90.2
70,10,VIC,6530852,469464,1279.5
71,10,NSW,8475582,668743,1555.6
72,10,QLD,5094718,363975,1520.2
73,10,WA,2663795,309245,1264.7
74,10,SA,1770048,111793,326.9
75,10,TAS,552310,32647,108.2
76,10,NT,248153,24849,133.0
77,11,VIC,6606149,470072,1213.3
78,11,NSW,8544949,666775,1477.8
79,11,QLD,5175003,361709,1478.7
80,11,WA,2718400,312478,1268.1
81,11,SA,1793547,110652,319.5
82,11,TAS,563507,32840,100.1
83,11,NT,248943,26339,146.5
84,12,VIC,6548040,468264,1136.2
85,12,NSW,8547373,677009,1402.4
86,12,QLD,5217653,368977,1445.2
87,12,WA,2749864,320653,1246.5
88,12,SA,1803192,114921,311.2
89,12,TAS,567909,34083,103.0
90,12,NT,249200,26181,145.1
